restaurant_id,DBA,BORO,CUISINE DESCRIPTION,Latitude,Longitude
50116591,FU LE DA PAI DANG,Queens,Chinese,40.75347366,-73.82231805
50116597,MI CASA (next to gate 22),Queens,Mexican,0.0,0.0
50116599,Golden Kitchen,Queens,Chinese,40.69199186,-73.8631369
50116602,FRESH STOP,Manhattan,"Juice, Smoothies, Fruit Salads",40.84895472,-73.9321835
50116603,UNCLE LOU,Manhattan,Chinese,40.71621106,-73.99914867
50116606,PETITE MAMAN,Manhattan,Sandwiches,40.75123412,-73.99416385
50116607,SANTA FE,Manhattan,Southwestern,40.77644836,-73.97862155
50116612,ALIDORO,Manhattan,Italian,40.75117384,-73.99692493
50116614,LE CAFE COFFEE,Manhattan,Coffee/Tea,40.75873689,-73.96861769
50116616,MARIAN'S,Manhattan,Other,40.7349688,-74.00013712
50116623,BLENDED SMOOTHIES,Queens,"Juice, Smoothies, Fruit Salads",40.7419579,-73.92615076
50116632,JOEY ROSES,Manhattan,Sandwiches,40.71891636,-73.98452028
50116638,BARRY'S,Manhattan,"Juice, Smoothies, Fruit Salads",40.77827684,-73.9526888
50116642,MAMAN,Manhattan,French,40.73295397,-73.99360257
50116645,CAFE GRUMPY,Manhattan,Coffee/Tea,40.75874744,-73.97869222
50116647,CRAZY FRUITS,Bronx,"Juice, Smoothies, Fruit Salads",40.87424249,-73.87931776
50116651,MCCARTHY'S,Manhattan,Irish,40.75792481,-73.98355824
50116667,XIN WANG WANG,Queens,Chinese,40.75773034,-73.82925153
50116674,SMASHBURGER,Queens,American,40.72636042,-73.90852551
50116677,MAMAN,Brooklyn,Other,40.68869452,-73.99285321
50116682,BAMBINA BLUE,Manhattan,Frozen Desserts,40.72163744,-73.99732314
50116687,No. 1 CHINESE,Staten Island,Chinese,40.63620408,-74.13462967
50116689,HOWARD BEACH BAGEL CAFE,Queens,Bagels/Pretzels,40.65323082,-73.83841811
50116690,SMASHBURGER #1747,Manhattan,Hamburgers,40.76419844,-73.96675598
50116702,ERNST AND YOUNG,Manhattan,Coffee/Tea,40.75243917,-73.99700066
50116704,THE LUNCH BOX,Manhattan,Coffee/Tea,40.76028387,-73.97550433
50116707,ERNST AND YOUNG,Manhattan,Other,40.75243917,-73.99700066
50116710,BROOKLYN DOP,Brooklyn,Pizza,40.67529321,-73.98120652
50116712,ERNST AND YOUNG,Manhattan,Other,40.75243917,-73.99700066
50116727,NEW TASTE OF CHINA,Queens,Chinese,40.74467114,-73.88459499
50116736,FEDERICO'S PIZZERIA,Brooklyn,Pizza,40.6003701,-73.99124223
50116743,BROADWAY PHO BANG,Queens,Southeast Asian,40.74136763,-73.88039298
50116749,T-SWIRL CREPE,Manhattan,Bakery Products/Desserts,40.71375724,-73.99866894
50116753,JIMMY'S PIZZERIA,Bronx,Pizza,40.82412841,-73.85940262
50116754,STARBUCKS,Manhattan,Coffee/Tea,40.76265381,-73.96917898
50116762,LA MANCHA TAPAS BAR,Brooklyn,Tapas,40.71405109,-73.95017344
50116763,DUNKIN',Manhattan,Coffee/Tea,40.84886797,-73.93404871
50116768,D'BLASS,Bronx,Latin American,40.84965659,-73.91093613
50116769,CHINA XING,Brooklyn,Chinese,40.6404167,-73.99432132
50116774,TROPICAL SENSATION,Manhattan,Latin American,40.8009283,-73.96533252
50116777,FERJE'S NB,Queens,Mexican,40.70716712,-73.80248522
50116778,SKINNY CANTINA,Manhattan,Mexican,40.82003511,-73.95893838
50116779,Sicily,Manhattan,Italian,40.76019811,-73.98892174
50116782,CASINO,Manhattan,Italian,40.71408067,-73.98971941
50116786,CRAB HOUSE,Brooklyn,Seafood,40.57554763,-73.98034197
50116791,Hailey & Hannah's Lunch Runners,Queens,American,40.75186772,-73.7028151
50116792,HOOK & REEL CAJUN SEAFOOD & BAR,Bronx,Seafood,40.82595948,-73.9196869
